arm,tp,conc,isl,osl,image,revision,total_tput,output_tput,total_token_throughput,request_throughput,completed,num_prompts,duration,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_e2el_ms,success,server_log,stdout,picklog
pmbcnw,2,128,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,20702.57,10339.93,20702.57321448402,11.23904374587359,1280,1280,113.8886927519925,146.70928285922855,1014.7463188879191,11.9326915605437,17.324664835236927,11132.328222525575,True,pmbcnw_isl1024_osl1024_tp2_conc128.server.log,pmbcnw_isl1024_osl1024_tp2_conc128.stdout,pmbcnw_isl1024_osl1024_tp2_conc128.picklog
pmbcnw,2,256,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,32386.34,16201.0,32386.337999752333,17.573442800932792,2560,2560,145.6743581208866,249.77498875359743,2318.012313391082,15.216911937443914,19.861061681548748,14284.452764261277,True,pmbcnw_isl1024_osl1024_tp2_conc256.server.log,pmbcnw_isl1024_osl1024_tp2_conc256.stdout,pmbcnw_isl1024_osl1024_tp2_conc256.picklog
pmbcnw,2,32,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,9284.1,4649.4,9284.0982591922,5.033506503330929,320,320,63.57397170108743,79.10590307728853,651.5291474969126,6.651409024688868,7.440125763784807,6217.782548521791,True,pmbcnw_isl1024_osl1024_tp2_conc32.server.log,pmbcnw_isl1024_osl1024_tp2_conc32.stdout,pmbcnw_isl1024_osl1024_tp2_conc32.picklog
pmbcnw,2,64,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,13904.63,6950.75,13904.63448533066,7.540295334820912,640,640,84.87731203902513,146.63717577896023,921.7439428158104,8.82893528906877,12.539925728718316,8293.330910266377,True,pmbcnw_isl1024_osl1024_tp2_conc64.server.log,pmbcnw_isl1024_osl1024_tp2_conc64.stdout,pmbcnw_isl1024_osl1024_tp2_conc64.picklog
pmbcnw,4,4,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,2531.07,1259.38,2531.0682355351532,1.3722803776435222,40,40,29.148562241112813,86.8854122585617,820.801172547508,2.988768730608027,3.5327714195828785,2825.3477453952655,True,pmbcnw_isl1024_osl1024_tp4_conc4.server.log,pmbcnw_isl1024_osl1024_tp4_conc4.stdout,pmbcnw_isl1024_osl1024_tp4_conc4.picklog
pmbcnw,4,8,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,3894.35,1954.39,3894.3519959402975,2.103591147209873,80,80,38.030203780857846,81.51866842235904,1022.9700312227943,3.92951313775693,4.697364625955988,3729.982310705236,True,pmbcnw_isl1024_osl1024_tp4_conc8.server.log,pmbcnw_isl1024_osl1024_tp4_conc8.stdout,pmbcnw_isl1024_osl1024_tp4_conc8.picklog
pmbcnw,4,4,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,9905.57,1101.92,9905.573969672827,1.1975728303544244,40,40,33.40089135803282,229.26336743985303,991.8988127494231,3.301588443492422,4.169466379960273,3266.1402555007953,True,pmbcnw_isl8192_osl1024_tp4_conc4.server.log,pmbcnw_isl8192_osl1024_tp4_conc4.stdout,pmbcnw_isl8192_osl1024_tp4_conc4.picklog
pmbucket,1,32,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,10785.77,5401.43,10785.774441735457,5.847661698558938,320,320,54.72272790316492,96.46080384409288,754.5918024913408,5.6599065355509,7.155472090801644,5322.500828355987,True,pmbucket_isl1024_osl1024_tp1_conc32.server.log,pmbucket_isl1024_osl1024_tp1_conc32.stdout,pmbucket_isl1024_osl1024_tp1_conc32.picklog
pmbucket,2,128,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,26635.84,13303.31,26635.841980802063,14.46010552064949,1280,1280,88.5194093619939,189.47013083816273,1367.875742276665,9.196633890736505,15.162666133574309,8661.450693231563,True,pmbucket_isl1024_osl1024_tp2_conc128.server.log,pmbucket_isl1024_osl1024_tp2_conc128.stdout,pmbucket_isl1024_osl1024_tp2_conc128.picklog
pmbucket,2,256,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,34252.7,17134.63,34252.70418130348,18.586168578615197,2560,2560,137.736833127914,242.45002742709403,2260.3136954875663,14.40873951735661,20.69867292617088,13532.113716581898,True,pmbucket_isl1024_osl1024_tp2_conc256.server.log,pmbucket_isl1024_osl1024_tp2_conc256.stdout,pmbucket_isl1024_osl1024_tp2_conc256.picklog
pmbucket,2,32,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,12447.36,6233.54,12447.35629664907,6.748512038466052,320,320,47.41786014102399,124.45965904116747,762.7353588631377,4.874318293875019,6.24518358287382,4625.078655037214,True,pmbucket_isl1024_osl1024_tp2_conc32.server.log,pmbucket_isl1024_osl1024_tp2_conc32.stdout,pmbucket_isl1024_osl1024_tp2_conc32.picklog
pmbucket,2,64,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,18544.75,9270.29,18544.75147930029,10.05656806098027,640,640,63.64000085508451,157.53800873208093,946.8649688456208,6.545449974839701,10.471005408592113,6206.887614025618,True,pmbucket_isl1024_osl1024_tp2_conc64.server.log,pmbucket_isl1024_osl1024_tp2_conc64.stdout,pmbucket_isl1024_osl1024_tp2_conc64.picklog
pmbucket,4,128,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,30535.41,15250.95,30535.412573628277,16.577110205469697,1280,1280,77.21490562194958,184.01064943263918,1280.7536600367166,7.989843570255775,12.726878849900903,7542.746121953496,True,pmbucket_isl1024_osl1024_tp4_conc128.server.log,pmbucket_isl1024_osl1024_tp4_conc128.stdout,pmbucket_isl1024_osl1024_tp4_conc128.picklog
pmbucket,4,16,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,7912.38,3935.25,7912.3825529713295,4.296617664843279,160,160,37.23859381512739,107.93673552980181,1185.5791932716966,3.860123307153651,4.77411664367777,3638.4162132788333,True,pmbucket_isl1024_osl1024_tp4_conc16.server.log,pmbucket_isl1024_osl1024_tp4_conc16.stdout,pmbucket_isl1024_osl1024_tp4_conc16.picklog
pmbucket,4,256,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,40760.21,20389.96,40760.21453612047,22.117267432635945,2560,2560,115.74666752107441,217.74349123761567,1765.2428358793256,12.076757893227256,16.72310176766248,11360.820005289952,True,pmbucket_isl1024_osl1024_tp4_conc256.server.log,pmbucket_isl1024_osl1024_tp4_conc256.stdout,pmbucket_isl1024_osl1024_tp4_conc256.picklog
pmbucket,4,32,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,13793.83,6907.84,13793.825524162166,7.4785195657465575,320,320,42.78921746299602,87.1110845124349,950.8807798032652,4.413850067617893,7.632185314882932,4165.692072135425,True,pmbucket_isl1024_osl1024_tp4_conc32.server.log,pmbucket_isl1024_osl1024_tp4_conc32.stdout,pmbucket_isl1024_osl1024_tp4_conc32.picklog
pmbucket,4,4,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,2630.68,1308.94,2630.675754257735,1.4262850233854643,40,40,28.04488537996076,61.47152156336233,488.0751855345443,2.898582096629953,3.2107990923726977,2717.5606039061677,True,pmbucket_isl1024_osl1024_tp4_conc4.server.log,pmbucket_isl1024_osl1024_tp4_conc4.stdout,pmbucket_isl1024_osl1024_tp4_conc4.picklog
pmbucket,4,64,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,19053.69,9524.7,19053.688482673333,10.332557718694762,640,640,61.940133065218106,166.81492346106097,1028.4896726440638,6.362484294663215,10.393334828579523,6045.451524469172,True,pmbucket_isl1024_osl1024_tp4_conc64.server.log,pmbucket_isl1024_osl1024_tp4_conc64.stdout,pmbucket_isl1024_osl1024_tp4_conc64.picklog
